"Assay","Individual_ID","Sample_ID","File_Name","BrodmannArea","BrainRegion","Hemisphere","CellType","TissueState","HistoneMark","HistoneAntibody","ChromatinAmount","AntibodyAmount","LibraryBatch","LibraryKit","RunType","ReadLength","FlowcellBatch","SequencingPlatform","MappedReads"
"ChIP-Seq","CMC_HBCC_375","HBCC_ACC_385_Neg_IN","PEC_EpiMap_MSSM_ACC_Epigenomics_control_NeuN-_HiSeq2500_CMC_HBCC_375",NA,"ACC","Left","NeuN-","chunk","Input","Not applicable","380.7",NA,"Input","KK8502","paired-end",100,"HFF3CBCXX","HiSeq2500","70840910"
"ChIP-Seq","CMC_HBCC_375","HBCC_ACC_385_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_375",NA,"ACC","Left","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","10.53","4","1","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","94361333"
"ChIP-Seq","CMC_HBCC_375","HBCC_ACC_385_A","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_375",NA,"ACC","Left","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","0","10","1","KK8502","paired-end",100,"C6GACANXX;C7HCYANXX","HiSeq2500","77616810"
"ChIP-Seq","CMC_HBCC_375","HBCC_ACC_385_Pos_IN","PEC_EpiMap_MSSM_ACC_Epigenomics_control_NeuN+_HiSeq2500_CMC_HBCC_375",NA,"ACC","Left","NeuN+","chunk","Input","Not applicable","218.7",NA,"Input","KK8502","paired-end",100,"HFF3CBCXX","HiSeq2500","83754820"
"ChIP-Seq","CMC_HBCC_375","HBCC_PFC_384_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_375","9_10","DLPFC","left","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","10.26","4","3","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","179583010"
"ChIP-Seq","CMC_HBCC_375","HBCC_PFC_384_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_375","9_10","DLPFC","left","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","5.31","10","2","KK8502","paired-end",100,"C6GACANXX;C7HCYANXX","HiSeq2500","101997130"
"ChIP-Seq","CMC_HBCC_375","HBCC_PFC_384_Neg_IN","PEC_EpiMap_MSSM_DLPFC_Epigenomics_control_NeuN-_HiSeq2500_CMC_HBCC_375","9_10","DLPFC","left","NeuN-","chunk","Input","Not applicable","354.6",NA,"Input","KK8502","paired-end",100,NA,"HiSeq2500","35444435"
"ChIP-Seq","CMC_HBCC_375","HBCC_PFC_384_C","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_375","9_10","DLPFC","left","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","9.54","4","4","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","83770752"
"ChIP-Seq","CMC_HBCC_375","HBCC_PFC_384_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_375","9_10","DLPFC","left","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","5.67","10","1","KK8502","paired-end",100,"C6BP4ANXX","HiSeq2500","44724453"
"ChIP-Seq","CMC_HBCC_375","HBCC_PFC_384_Pos_IN","PEC_EpiMap_MSSM_DLPFC_Epigenomics_control_NeuN+_HiSeq2500_CMC_HBCC_375","9_10","DLPFC","left","NeuN+","chunk","Input","Not applicable","289.8",NA,"Input","KK8502","paired-end",100,NA,"HiSeq2500","27029206"
"ChIP-Seq","CMC_HBCC_377","HBCC_ACC_362_D","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_377",NA,"ACC","Right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","9","4","11","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","131567021"
"ChIP-Seq","CMC_HBCC_377","HBCC_ACC_362_B","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_377",NA,"ACC","Right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","17.055","10","11","KK8502","paired-end",100,"C6RC5ANXX;C7HCYANXX","HiSeq2500","84933432"
"ChIP-Seq","CMC_HBCC_377","HBCC_ACC_362_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_377",NA,"ACC","Right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","16.11","4","13","KK8502","paired-end",100,"C7HCYANXX;C6RC5ANXX","HiSeq2500","128178868"
"ChIP-Seq","CMC_HBCC_377","HBCC_ACC_362_A","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_377",NA,"ACC","Right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","7.74","10","10","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","40814098"
"ChIP-Seq","CMC_HBCC_377","HBCC_PFC_361_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_377","9_10","DLPFC","right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","9.585","4","11","KK8502","paired-end",100,"C7HCYANXX;C6RC5ANXX","HiSeq2500","174470388"
"ChIP-Seq","CMC_HBCC_377","HBCC_PFC_361_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_377","9_10","DLPFC","right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","7.245","10","11","KK8502","paired-end",100,"C6RC5ANXX;BC7GVVANXX;BC7HAGANXX","HiSeq2500","47180347"
"ChIP-Seq","CMC_HBCC_377","HBCC_PFC_361_C","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_377","9_10","DLPFC","right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","14.625","4","11","KK8502","paired-end",100,"C6RC5ANXX;C7HCYANXX","HiSeq2500","160411042"
"ChIP-Seq","CMC_HBCC_377","HBCC_PFC_361_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_377","9_10","DLPFC","right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","14.85","10","11","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","43012893"
"ChIP-Seq","CMC_HBCC_380","HBCC_ACC_358_D","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_380",NA,"ACC","Right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","16.965","4","20","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","96581623"
"ChIP-Seq","CMC_HBCC_380","HBCC_ACC_358_B","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_380",NA,"ACC","Right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","10.125","10","16","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","43229502"
"ChIP-Seq","CMC_HBCC_380","HBCC_ACC_358_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_380",NA,"ACC","Right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","30.06","4","20","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","145793360"
"ChIP-Seq","CMC_HBCC_380","HBCC_ACC_358_A","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_380",NA,"ACC","Right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","10.44","10","15","KK8502","paired-end",100,"C6RC5ANXX;BC7GVVANXX;BC7HAGANXX","HiSeq2500","48022975"
"ChIP-Seq","CMC_HBCC_380","HBCC_PFC_357_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_380","9_10","DLPFC","right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","13.725","4","19","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","91610350"
"ChIP-Seq","CMC_HBCC_380","HBCC_PFC_357_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_380","9_10","DLPFC","right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","11.565","10","15","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","51999063"
"ChIP-Seq","CMC_HBCC_380","HBCC_PFC_357_C","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_380","9_10","DLPFC","right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","18.18","4","17","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","134081422"
"ChIP-Seq","CMC_HBCC_380","HBCC_PFC_357_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_380","9_10","DLPFC","right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","11.34","10","17","KK8502","paired-end",100,"C6RC5ANXX;BC7GVVANXX;BC7HAGANXX","HiSeq2500","51359034"
"ChIP-Seq","CMC_HBCC_383","HBCC_ACC_344_D","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_383",NA,"ACC","Right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","3.24","4","17","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","106855034"
"ChIP-Seq","CMC_HBCC_383","HBCC_ACC_344_B","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_383",NA,"ACC","Right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","2.745","10","18","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","41184172"
"ChIP-Seq","CMC_HBCC_383","HBCC_ACC_344_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_383",NA,"ACC","Right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","3.51","4","17","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","111936113"
"ChIP-Seq","CMC_HBCC_383","HBCC_ACC_344_A","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_383",NA,"ACC","Right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","2.88","10","14","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","41010901"
"ChIP-Seq","CMC_HBCC_383","HBCC_PFC_343_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_383","9_10","DLPFC","right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","6.3","4","20","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","165463446"
"ChIP-Seq","CMC_HBCC_383","HBCC_PFC_343_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_383","9_10","DLPFC","right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","4.5","10","16","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","53872810"
"ChIP-Seq","CMC_HBCC_383","HBCC_PFC_343_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_383","9_10","DLPFC","right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","8.325","10","16","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","53468851"
"ChIP-Seq","CMC_HBCC_392","HBCC_ACC_352_D","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_392",NA,"ACC","Right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","7.56","4","20","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","205209787"
"ChIP-Seq","CMC_HBCC_392","HBCC_ACC_352_B","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_392",NA,"ACC","Right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","20.475","10","21","KK8502","paired-end",100,"HGFJKBCXX","HiSeq2500","61963230"
"ChIP-Seq","CMC_HBCC_392","HBCC_ACC_352_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_392",NA,"ACC","Right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","11.925","4","16","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","80458029"
"ChIP-Seq","CMC_HBCC_392","HBCC_ACC_352_A","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_392",NA,"ACC","Right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","24.885","10","21","KK8502","paired-end",100,"HGFJKBCXX","HiSeq2500","62790445"
"ChIP-Seq","CMC_HBCC_392","HBCC_PFC_351_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_392","9_10","DLPFC","right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","9.45","4","18","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","128152513"
"ChIP-Seq","CMC_HBCC_392","HBCC_PFC_351_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_392","9_10","DLPFC","right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","5.265","10","19","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","47935945"
"ChIP-Seq","CMC_HBCC_392","HBCC_PFC_351_C","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_392","9_10","DLPFC","right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","16.2","4","14","KK8502","paired-end",100,"C6RC5ANXX;C7HCYANXX","HiSeq2500","125995980"
"ChIP-Seq","CMC_HBCC_392","HBCC_PFC_351_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_392","9_10","DLPFC","right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","20.025","10","20","KK8502","paired-end",100,"C6RC5ANXX;BC7GVVANXX;BC7HAGANXX","HiSeq2500","29407605"
"ChIP-Seq","CMC_HBCC_400","HBCC_ACC_356_D","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_400",NA,"ACC","Right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","0","4","4","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","107240200"
"ChIP-Seq","CMC_HBCC_400","HBCC_ACC_356_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_400",NA,"ACC","Right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","0","4","4","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","107584774"
"ChIP-Seq","CMC_HBCC_400","HBCC_ACC_356_A","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_400",NA,"ACC","Right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","0","10","3","KK8502","paired-end",100,"C6GACANXX;C7HCYANXX","HiSeq2500","120647009"
"ChIP-Seq","CMC_HBCC_400","HBCC_PFC_355_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_400","9_10","DLPFC","right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","0","4","2","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","83816718"
"ChIP-Seq","CMC_HBCC_400","HBCC_PFC_355_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_400","9_10","DLPFC","right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","1.3725","10","4","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","45117418"
"ChIP-Seq","CMC_HBCC_400","HBCC_PFC_355_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_400","9_10","DLPFC","right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","0","10","21","KK8502","paired-end",100,"HGFJKBCXX","HiSeq2500","53100214"
