cell_type,gene_id,gene_name,gene_biotype,FC,FDR
L4,ENSG00000112232,KHDRBS2,protein_coding,1.14702448850721,2.93109883720227E-133
L4,ENSG00000185518,SV2B,protein_coding,1.1637124887192,9.66973335764074E-133
L4,ENSG00000115252,PDE1A,protein_coding,1.35811478063031,3.35927514188459E-132
L4,ENSG00000118733,OLFM3,protein_coding,1.21907757343991,3.05341344139232E-129
L4,ENSG00000143473,KCNH1,protein_coding,1.27352659492166,1.32382293527291E-127
L4,ENSG00000184349,EFNA5,protein_coding,1.24793836264507,6.20513857536542E-124
L4,ENSG00000134986,NREP,protein_coding,1.25505158022983,8.44000080798575E-124
L4,ENSG00000146147,MLIP,protein_coding,1.00252717442289,6.01360941345118E-120
L4,ENSG00000144331,ZNF385B,protein_coding,1.24177308710983,9.41909497607627E-119
L4,ENSG00000114861,FOXP1,protein_coding,1.04553294826281,6.30358436214184E-118
L4,ENSG00000198673,FAM19A2,protein_coding,1.33691789938447,6.72916657099055E-117
L4,ENSG00000187323,DCC,protein_coding,1.54598954801896,1.53509780469842E-116
L4,ENSG00000198846,TOX,protein_coding,1.16981299926154,3.44611351721073E-116
L4,ENSG00000165966,PDZRN4,protein_coding,1.17415140026686,1.11564547422998E-111
L4,ENSG00000165061,ZMAT4,protein_coding,1.13187867752628,2.51026033061524E-107
L4,ENSG00000156687,UNC5D,protein_coding,1.24877479543392,3.72925196225997E-103
L4,ENSG00000196277,GRM7,protein_coding,1.03818308514576,9.89204809466104E-102
L4,ENSG00000216863,LY86-AS1,antisense,1.02619461761174,7.74228292135311E-101
L4,ENSG00000175497,DPP10,protein_coding,1.13225731657994,1.64401244837638E-100
L4,ENSG00000002746,HECW1,protein_coding,1.04134867860399,2.55975211371632E-99
L4,ENSG00000116106,EPHA4,protein_coding,1.0814240545617,6.78236551188899E-98
L4,ENSG00000072657,TRHDE,protein_coding,1.06822475622338,2.50258193411886E-92
L4,ENSG00000248905,FMN1,protein_coding,1.07556244741453,6.82634642090358E-90
L4,ENSG00000117069,ST6GALNAC5,protein_coding,1.09584357606574,2.83442435762264E-87
L4,ENSG00000108018,SORCS1,protein_coding,1.11576263847121,1.33694781972787E-85
L4,ENSG00000182674,KCNB2,protein_coding,1.02820768134562,2.30222537399166E-83
L4,ENSG00000182256,GABRG3,protein_coding,1.00377060793539,7.53331746524657E-81
L4,ENSG00000117114,ADGRL2,protein_coding,1.06489303758461,2.36519424184798E-80
L4,ENSG00000196090,PTPRT,protein_coding,1.03877990543944,1.34756856335286E-75
L4,ENSG00000253553,RP11-586K2.1,antisense,1.05117021947597,5.20605400089982E-75
L4,ENSG00000174482,LINGO2,protein_coding,1.07267572493172,2.20073316780843E-68
L4,ENSG00000158258,CLSTN2,protein_coding,1.02169233114925,6.73395073750638E-65
L4,ENSG00000184611,KCNH7,protein_coding,1.07052048220039,1.14265763417122E-61
L5/6,ENSG00000106829,TLE4,protein_coding,2.39334799921529,0
L5/6,ENSG00000108684,ASIC2,protein_coding,2.09967149870532,0
L5/6,ENSG00000120549,KIAA1217,protein_coding,2.66549124460038,0
L5/6,ENSG00000139915,MDGA2,protein_coding,1.34552144900321,0
L5/6,ENSG00000168702,LRP1B,protein_coding,1.58445800774425,0
L5/6,ENSG00000170381,SEMA3E,protein_coding,1.97347243680354,0
L5/6,ENSG00000182601,HS3ST4,protein_coding,3.61464903102611,0
L5/6,ENSG00000206120,EGFEM1P,unitary_pseudogene,2.45056396576555,0
L5/6,ENSG00000164741,DLC1,protein_coding,2.13411576841252,0
L5/6,ENSG00000175497,DPP10,protein_coding,1.78345266296403,8.08242603494628E-298
L5/6,ENSG00000128573,FOXP2,protein_coding,1.87741420910722,6.24666833808311E-260
L5/6,ENSG00000165966,PDZRN4,protein_coding,1.98322864556686,5.57747374861228E-246
L5/6,ENSG00000183023,SLC8A1,protein_coding,1.3581748895912,5.15012250174665E-236
L5/6,ENSG00000118733,OLFM3,protein_coding,1.75032381876352,1.61991638788185E-224
L5/6,ENSG00000153707,PTPRD,protein_coding,1.29280412110887,9.01515627618195E-214
L5/6,ENSG00000198626,RYR2,protein_coding,1.23696258574639,3.80405995296937E-211
L5/6,ENSG00000158258,CLSTN2,protein_coding,1.60792708993866,2.2966327610579E-196
L5/6,ENSG00000250305,KIAA1456,protein_coding,1.38157737429472,3.4032131984696E-194
L5/6,ENSG00000172995,ARPP21,protein_coding,1.31385723523989,5.37201330053972E-186
L5/6,ENSG00000083067,TRPM3,protein_coding,1.75027837099354,1.32984402498856E-178
L5/6,ENSG00000188580,NKAIN2,protein_coding,1.16261018591574,1.62740595828214E-158
L5/6,ENSG00000253553,RP11-586K2.1,antisense,1.65272979057926,3.92287156901073E-152
L5/6,ENSG00000163873,GRIK3,protein_coding,1.01117998117115,1.04949315077729E-151
L5/6,ENSG00000099715,PCDH11Y,protein_coding,1.46182146526558,6.37674530197155E-151
L5/6,ENSG00000184672,RALYL,protein_coding,1.36922076669716,7.16861064276041E-151
L5/6,ENSG00000165023,DIRAS2,protein_coding,1.2937875520573,1.6989146606657E-150
L5/6,ENSG00000187398,LUZP2,protein_coding,1.47807825107236,1.09835822425338E-141
L5/6,ENSG00000140937,CDH11,protein_coding,1.18331937086928,6.47548817197011E-139
L5/6,ENSG00000169946,ZFPM2,protein_coding,1.26573057568878,3.58062832265326E-126
L5/6,ENSG00000196376,SLC35F1,protein_coding,1.1017797111913,4.47065541648431E-125
L5/6,ENSG00000102290,PCDH11X,protein_coding,1.35924047929536,2.41384933460114E-123
L5/6,ENSG00000185008,ROBO2,protein_coding,1.49075502908583,9.57341731292123E-122
L5/6,ENSG00000130396,MLLT4,protein_coding,1.056657550526,3.10140088780592E-120
L5/6,ENSG00000182256,GABRG3,protein_coding,1.04441933266941,3.40953659183317E-120
L5/6,ENSG00000185518,SV2B,protein_coding,1.0733381072828,1.02503080106148E-116
L5/6,ENSG00000145242,EPHA5,protein_coding,1.15356549596859,3.84144795966995E-113
L5/6,ENSG00000171509,RXFP1,protein_coding,1.04210912693497,7.49574869077085E-113
L5/6,ENSG00000138759,FRAS1,protein_coding,1.11205319715833,7.88708813888127E-111
L5/6,ENSG00000233723,LINC01122,lincRNA,1.13170445511757,7.13534423598849E-105
L5/6,ENSG00000144331,ZNF385B,protein_coding,1.26789526588542,1.76190941047904E-101
L5/6,ENSG00000115252,PDE1A,protein_coding,1.31560958640149,1.11870956482834E-97
L5/6,ENSG00000225206,MIR137HG,lincRNA,1.08408210123387,1.32999247920085E-93
L5/6,ENSG00000175471,MCTP1,protein_coding,1.16185089974011,2.25826999292493E-93
L5/6,ENSG00000165084,C8orf34,protein_coding,1.00504084428949,8.76148889385511E-86
L5/6,ENSG00000198838,RYR3,protein_coding,1.05242544948031,2.61184748287389E-76
L5/6,ENSG00000151789,ZNF385D,protein_coding,1.08649797951306,1.02276168727692E-75
L5/6,ENSG00000157168,NRG1,protein_coding,1.05185942683933,4.40553014462608E-60
L5/6-CC,ENSG00000157168,NRG1,protein_coding,1.6942904397364,5.06053523419363E-182
L5/6-CC,ENSG00000165966,PDZRN4,protein_coding,1.8297191916796,7.74820047012734E-162
L5/6-CC,ENSG00000184672,RALYL,protein_coding,1.29221063238637,7.99447185509372E-154
L5/6-CC,ENSG00000168702,LRP1B,protein_coding,1.32264940236399,7.45109391864165E-153
L5/6-CC,ENSG00000067715,SYT1,protein_coding,1.06202426718552,1.81361737052145E-128
L5/6-CC,ENSG00000171509,RXFP1,protein_coding,1.22048376790536,3.8176216788585E-125
L5/6-CC,ENSG00000158258,CLSTN2,protein_coding,1.36888853168565,5.41497844929346E-118
L5/6-CC,ENSG00000185774,KCNIP4,protein_coding,1.31489957980785,8.86593615417276E-116
L5/6-CC,ENSG00000182348,ZNF804B,protein_coding,1.62841324901751,2.82356644743403E-99
L5/6-CC,ENSG00000106536,POU6F2,protein_coding,1.34801191720115,3.17528102160031E-99
L5/6-CC,ENSG00000239498,AC114765.1,lincRNA,1.20499272587292,2.53939077309206E-97
L5/6-CC,ENSG00000066032,CTNNA2,protein_coding,1.0236165174802,5.11422575804326E-97
L5/6-CC,ENSG00000165973,NELL1,protein_coding,1.15706295482711,5.9137540788926E-91
L5/6-CC,ENSG00000119042,SATB2,protein_coding,1.00123034251016,4.09117126749379E-90
L5/6-CC,ENSG00000175497,DPP10,protein_coding,1.02769668486648,4.09117126749379E-90
L5/6-CC,ENSG00000134532,SOX5,protein_coding,1.12828601814309,3.51094021277126E-85
L5/6-CC,ENSG00000253553,RP11-586K2.1,antisense,1.18438293384449,8.0346382349502E-82
L5/6-CC,ENSG00000152214,RIT2,protein_coding,1.09766031002901,3.54828023012006E-79
L5/6-CC,ENSG00000141668,CBLN2,protein_coding,1.01867728852119,1.7137448789086E-75
L5/6-CC,ENSG00000152894,PTPRK,protein_coding,1.13577900985186,4.94991954793246E-73
L5/6-CC,ENSG00000154162,CDH12,protein_coding,1.35219428244811,3.74288462448255E-72
L5/6-CC,ENSG00000183780,SLC35F3,protein_coding,1.00629224429394,2.74915126477209E-68
L5/6-CC,ENSG00000081803,CADPS2,protein_coding,1.07860837510437,1.29124878357156E-60
L5/6-CC,ENSG00000184347,SLIT3,protein_coding,1.0012599331564,5.51498898400231E-60
L5/6-CC,ENSG00000189108,IL1RAPL2,protein_coding,1.13139561774256,8.68135606046416E-58
Neu-NRGN-I,ENSG00000034510,TMSB10,protein_coding,2.39169351353463,0
Neu-NRGN-I,ENSG00000067225,PKM,protein_coding,2.158842062343,0
Neu-NRGN-I,ENSG00000067715,SYT1,protein_coding,2.35415364271528,0
Neu-NRGN-I,ENSG00000080824,HSP90AA1,protein_coding,2.37018208432328,0
Neu-NRGN-I,ENSG00000096384,HSP90AB1,protein_coding,2.28218803720625,0
Neu-NRGN-I,ENSG00000102003,SYP,protein_coding,2.24488232271829,0
Neu-NRGN-I,ENSG00000104435,STMN2,protein_coding,2.47161676572526,0
Neu-NRGN-I,ENSG00000105649,RAB3A,protein_coding,2.32990156095513,0
Neu-NRGN-I,ENSG00000105696,TMEM59L,protein_coding,2.32751293501676,0
Neu-NRGN-I,ENSG00000111640,GAPDH,protein_coding,2.27191460883553,0
Neu-NRGN-I,ENSG00000115310,RTN4,protein_coding,1.92307286588554,0
Neu-NRGN-I,ENSG00000117632,STMN1,protein_coding,2.37992718003629,0
Neu-NRGN-I,ENSG00000123416,TUBA1B,protein_coding,2.60051062285524,0
Neu-NRGN-I,ENSG00000128245,YWHAH,protein_coding,2.62412110709355,0
Neu-NRGN-I,ENSG00000128656,CHN1,protein_coding,3.00630157501734,0
Neu-NRGN-I,ENSG00000128989,ARPP19,protein_coding,2.61033420410328,0
Neu-NRGN-I,ENSG00000130558,OLFM1,protein_coding,2.35986888878551,0
Neu-NRGN-I,ENSG00000131711,MAP1B,protein_coding,2.54390773402898,0
Neu-NRGN-I,ENSG00000132639,SNAP25,protein_coding,2.11233436029962,0
Neu-NRGN-I,ENSG00000133169,BEX1,protein_coding,2.58191488821954,0
Neu-NRGN-I,ENSG00000133318,RTN3,protein_coding,2.1701877381366,0
Neu-NRGN-I,ENSG00000133872,SARAF,protein_coding,2.21265071675827,0
Neu-NRGN-I,ENSG00000137267,TUBB2A,protein_coding,2.62454798739745,0
Neu-NRGN-I,ENSG00000139970,RTN1,protein_coding,2.40831897414653,0
Neu-NRGN-I,ENSG00000143153,ATP1B1,protein_coding,2.26872872401589,0
Neu-NRGN-I,ENSG00000149925,ALDOA,protein_coding,2.52652595956987,0
Neu-NRGN-I,ENSG00000154096,THY1,protein_coding,2.7406649558528,0
Neu-NRGN-I,ENSG00000154146,NRGN,protein_coding,2.57478897026402,0
Neu-NRGN-I,ENSG00000154277,UCHL1,protein_coding,2.41572019458751,0
Neu-NRGN-I,ENSG00000160014,CALM3,protein_coding,2.52319560679982,0
Neu-NRGN-I,ENSG00000163032,VSNL1,protein_coding,2.1770297381024,0
Neu-NRGN-I,ENSG00000166681,NGFRAP1,protein_coding,2.31534796933081,0
Neu-NRGN-I,ENSG00000170027,YWHAG,protein_coding,2.17128720082494,0
Neu-NRGN-I,ENSG00000171603,CLSTN1,protein_coding,2.15954026959135,0
Neu-NRGN-I,ENSG00000171617,ENC1,protein_coding,2.7231542946347,0
Neu-NRGN-I,ENSG00000171867,PRNP,protein_coding,2.11979053781729,0
Neu-NRGN-I,ENSG00000178980,SEPW1,protein_coding,2.34046668810888,0
Neu-NRGN-I,ENSG00000198668,CALM1,protein_coding,2.54861508778961,0
Neu-NRGN-I,ENSG00000277586,NEFL,protein_coding,2.67125081424066,0
Neu-NRGN-I,ENSG00000156298,TSPAN7,protein_coding,2.10383043507302,0
Neu-NRGN-I,ENSG00000166922,SCG5,protein_coding,2.23174875337834,0
Neu-NRGN-I,ENSG00000145335,SNCA,protein_coding,2.13852180840254,3.22345071942502E-305
Neu-NRGN-I,ENSG00000163399,ATP1A1,protein_coding,2.13085917712317,1.86696611839264E-301
Neu-NRGN-I,ENSG00000156976,EIF4A2,protein_coding,1.9982573184262,1.55786233096366E-300
Neu-NRGN-I,ENSG00000102109,PCSK1N,protein_coding,2.10223178829591,8.87806172703545E-291
Neu-NRGN-I,ENSG00000111674,ENO2,protein_coding,2.05792295403533,2.01565277925596E-290
Neu-NRGN-I,ENSG00000104888,SLC17A7,protein_coding,2.13405671145263,8.05445413081269E-290
Neu-NRGN-I,ENSG00000166165,CKB,protein_coding,1.92018240989126,3.95749965049326E-288
Neu-NRGN-I,ENSG00000111897,SERINC1,protein_coding,2.02752290379151,5.76631943882391E-288
Neu-NRGN-I,ENSG00000197746,PSAP,protein_coding,1.9297053941688,2.05882891163063E-287
Neu-NRGN-I,ENSG00000175874,CREG2,protein_coding,2.09541883470319,2.30931459803724E-287
Neu-NRGN-I,ENSG00000135472,FAIM2,protein_coding,1.99321408044646,8.49474293601956E-287
Neu-NRGN-I,ENSG00000182220,ATP6AP2,protein_coding,1.99553056384229,4.24339879145587E-284
Neu-NRGN-I,ENSG00000117152,RGS4,protein_coding,2.03731999166893,1.37310516218788E-282
Neu-NRGN-I,ENSG00000260032,LINC00657,lincRNA,1.97502091548996,5.45968862826193E-278
Neu-NRGN-I,ENSG00000104722,NEFM,protein_coding,1.87187348847346,1.36692925347135E-276
Neu-NRGN-I,ENSG00000088986,DYNLL1,protein_coding,1.92935862668249,2.05147085050933E-275
Neu-NRGN-I,ENSG00000136854,STXBP1,protein_coding,1.95327722019736,1.82428807041103E-274
Neu-NRGN-I,ENSG00000163536,SERPINI1,protein_coding,1.97980205871072,1.10961492115519E-272
Neu-NRGN-I,ENSG00000165434,PGM2L1,protein_coding,1.96443337879512,1.49471478098021E-266
Neu-NRGN-I,ENSG00000133134,BEX2,protein_coding,1.95482135560468,1.87740910151316E-266
Neu-NRGN-I,ENSG00000171314,PGAM1,protein_coding,1.9104522275754,2.70576216575603E-266
Neu-NRGN-I,ENSG00000070808,CAMK2A,protein_coding,2.04320466412182,1.18599083595903E-262
Neu-NRGN-I,ENSG00000143013,LMO4,protein_coding,1.99486669663202,2.0230994646817E-262
Neu-NRGN-I,ENSG00000205542,TMSB4X,protein_coding,1.79524256548467,4.90036699763274E-262
Neu-NRGN-I,ENSG00000166913,YWHAB,protein_coding,1.91607742210604,9.61111778005792E-261
Neu-NRGN-I,ENSG00000167552,TUBA1A,protein_coding,1.92373100345038,6.85464589248664E-260
Neu-NRGN-I,ENSG00000120885,CLU,protein_coding,2.08881936635742,1.76362924762479E-258
Neu-NRGN-I,ENSG00000105223,PLD3,protein_coding,1.87570368209835,2.21699893112286E-258
Neu-NRGN-I,ENSG00000117410,ATP6V0B,protein_coding,1.90704968594546,5.32670945832038E-258
Neu-NRGN-I,ENSG00000089220,PEBP1,protein_coding,1.81021296589181,1.09906641234126E-253
Neu-NRGN-I,ENSG00000187094,CCK,protein_coding,2.44269365839423,4.84175602327136E-253
Neu-NRGN-I,ENSG00000125814,NAPB,protein_coding,1.85255170449504,1.27730143623998E-252
Neu-NRGN-I,ENSG00000103034,NDRG4,protein_coding,1.96240374934788,4.94698306213213E-246
Neu-NRGN-I,ENSG00000131507,NDFIP1,protein_coding,1.73983583087332,1.71848199717506E-245
Neu-NRGN-I,ENSG00000147416,ATP6V1B2,protein_coding,1.82580025985325,2.75525938329707E-245
Neu-NRGN-I,ENSG00000172757,CFL1,protein_coding,1.82831006170424,2.38253055366155E-243
Neu-NRGN-I,ENSG00000106976,DNM1,protein_coding,1.80261568938434,1.71848760569318E-241
Neu-NRGN-I,ENSG00000111669,TPI1,protein_coding,1.82244423394841,2.17244279725395E-238
Neu-NRGN-I,ENSG00000132872,SYT4,protein_coding,1.77897496373658,1.36721749886342E-235
Neu-NRGN-I,ENSG00000203879,GDI1,protein_coding,1.79043582120594,1.52693410423082E-235
Neu-NRGN-I,ENSG00000092964,DPYSL2,protein_coding,1.541402317437,1.31031532616732E-234
Neu-NRGN-I,ENSG00000126214,KLC1,protein_coding,1.79830210370142,2.52113572936022E-234
Neu-NRGN-I,ENSG00000137409,MTCH1,protein_coding,1.7477316580186,2.52113572936022E-234
Neu-NRGN-I,ENSG00000175602,CCDC85B,protein_coding,1.76113786395072,2.44876696807851E-233
Neu-NRGN-I,ENSG00000176956,LY6H,protein_coding,1.80540653403606,1.38430423728865E-231
Neu-NRGN-I,ENSG00000010404,IDS,protein_coding,1.78491584836154,1.75343835598908E-231
Neu-NRGN-I,ENSG00000196230,TUBB,protein_coding,1.73175419937321,4.12987665675158E-230
Neu-NRGN-I,ENSG00000105290,APLP1,protein_coding,1.82404200761058,3.90376723996175E-228
Neu-NRGN-I,ENSG00000172020,GAP43,protein_coding,1.84497431682769,1.13717654849853E-227
Neu-NRGN-I,ENSG00000073969,NSF,protein_coding,1.81009176752906,5.62940818699192E-227
Neu-NRGN-I,ENSG00000105409,ATP1A3,protein_coding,1.85251417291325,2.48698468727211E-226
Neu-NRGN-I,ENSG00000196950,SLC39A10,protein_coding,1.81953011505358,4.40185301247074E-226
Neu-NRGN-I,ENSG00000166257,SCN3B,protein_coding,1.82805587363581,1.00567591645122E-223
Neu-NRGN-I,ENSG00000171130,ATP6V0E2,protein_coding,1.67395473542775,5.06653011110588E-221
Neu-NRGN-I,ENSG00000167996,FTH1,protein_coding,1.77095393876965,1.45460925039475E-219
Neu-NRGN-I,ENSG00000134333,LDHA,protein_coding,1.56567582244794,1.04557137947276E-218
Neu-NRGN-I,ENSG00000070961,ATP2B1,protein_coding,1.70035357072115,5.08602083627305E-216
Neu-NRGN-I,ENSG00000074317,SNCB,protein_coding,1.74255992480287,5.99103122457476E-216
Neu-NRGN-I,ENSG00000075624,ACTB,protein_coding,1.56702544614567,1.15596304930839E-214
Neu-NRGN-I,ENSG00000138078,PREPL,protein_coding,1.60180496864275,4.08378143072985E-214
Neu-NRGN-I,ENSG00000162706,CADM3,protein_coding,1.74081936441898,3.59096405784087E-213
Neu-NRGN-I,ENSG00000142192,APP,protein_coding,1.45121432965982,1.1400142906447E-212
Neu-NRGN-I,ENSG00000109472,CPE,protein_coding,1.70022218854087,1.83963539487687E-211
Neu-NRGN-I,ENSG00000005486,RHBDD2,protein_coding,1.65240142612491,2.21966079978868E-211
Neu-NRGN-I,ENSG00000129625,REEP5,protein_coding,1.64536663302022,1.38758916753373E-209
Neu-NRGN-I,ENSG00000170091,HMP19,protein_coding,1.71820213811412,1.81660820850042E-207
Neu-NRGN-I,ENSG00000120265,PCMT1,protein_coding,1.64955344224199,5.67538245233375E-206
Neu-NRGN-I,ENSG00000136156,ITM2B,protein_coding,1.6140386381865,1.63407364582404E-205
Neu-NRGN-I,ENSG00000166501,PRKCB,protein_coding,1.64150345783739,2.02153884188426E-205
Neu-NRGN-I,ENSG00000196262,PPIA,protein_coding,1.65778252917928,4.74687806256079E-205
Neu-NRGN-I,ENSG00000100604,CHGA,protein_coding,1.52281108720825,1.62225592855519E-203
Neu-NRGN-I,ENSG00000156411,C14orf2,protein_coding,1.64616478293414,4.84971115153973E-203
Neu-NRGN-I,ENSG00000152583,SPARCL1,protein_coding,1.96562786686792,5.15394085012957E-203
Neu-NRGN-I,ENSG00000174938,SEZ6L2,protein_coding,1.70762409398132,5.99717093974455E-203
Neu-NRGN-I,ENSG00000213585,VDAC1,protein_coding,1.56005984468531,9.32410225599109E-203
Neu-NRGN-I,ENSG00000168490,PHYHIP,protein_coding,1.64236119807692,3.11343034441487E-199
Neu-NRGN-I,ENSG00000014641,MDH1,protein_coding,1.64025352708611,6.58481555485337E-199
Neu-NRGN-I,ENSG00000132824,SERINC3,protein_coding,1.62347461172104,3.94395250125212E-198
Neu-NRGN-I,ENSG00000165678,GHITM,protein_coding,1.52258766406446,6.61026834761743E-197
Neu-NRGN-I,ENSG00000173660,UQCRH,protein_coding,1.63250470764682,2.11486317569569E-196
Neu-NRGN-I,ENSG00000197457,STMN3,protein_coding,1.52930017489597,4.7462821957812E-194
Neu-NRGN-I,ENSG00000154917,RAB6B,protein_coding,1.58482899482003,5.11886774394753E-194
