cell_type,gene_name
Neurons,DGKB
Neurons,CLVS1
Neurons,CAND1
Neurons,SERPINI1
Neurons,CLCN4
Neurons,XPO7
Neurons,OPA1
Neurons,CACNB2
Neurons,RASA1
Neurons,AP1G1
Neurons,C12orf4
Neurons,UBQLN1
Neurons,GABRB3
Neurons,RIMS1
Neurons,CHM
Neurons,RGS7
Neurons,MAPRE2
Neurons,PRKACB
Neurons,ATRN
Neurons,UBE3C
Neurons,CAB39
Neurons,SCN2A
Neurons,AKAP11
Neurons,TRHDE
Neurons,NNT
Neurons,ZMYM4
Neurons,SLC16A14
Neurons,PLK2
Neurons,GUCY1B3
Neurons,NSF
Neurons,CD200
Neurons,MTA3
Neurons,ZNF711
Neurons,RNF38
Neurons,ATP2B1
Neurons,CASD1
Neurons,REEP1
Neurons,NUDT21
Neurons,BCLAF1
Neurons,ADARB1
Neurons,PPP3CB
Neurons,BHLHB9
Neurons,GRIA3
Neurons,INPP4A
Neurons,RBM18
Neurons,SLC30A9
Neurons,MAN1A1
Neurons,GDAP1
Neurons,ARFGEF1
Astrocytes,SLC1A3
Astrocytes,MLC1
Astrocytes,TP53BP2
Astrocytes,NTRK2
Astrocytes,BBOX1
Astrocytes,AGT
Astrocytes,SLC4A4
Astrocytes,RAB31
Astrocytes,METTL7A
Astrocytes,ATP1A2
Astrocytes,PON2
Astrocytes,SPON1
Astrocytes,CLDN10
Astrocytes,NOTCH2
Astrocytes,CDC42EP4
Astrocytes,HEPH
Astrocytes,PPAP2B
Astrocytes,GPR125
Astrocytes,SLC25A18
Astrocytes,ALDH6A1
Astrocytes,ETNPPL
Astrocytes,BMPR1B
Astrocytes,GJA1
Astrocytes,ALDH4A1
Astrocytes,APOE
Astrocytes,ARHGEF26
Astrocytes,SLCO1C1
Astrocytes,SLC39A12
Astrocytes,SLC1A2
Astrocytes,MERTK
Astrocytes,GPAM
Astrocytes,APCDD1
Astrocytes,RAB34
Astrocytes,ACSBG1
Astrocytes,PDLIM5
Astrocytes,AXL
Astrocytes,ACSS1
Astrocytes,LRP4
Astrocytes,GPC5
Astrocytes,ALDH1L1
Astrocytes,SLC9A3R1
Astrocytes,AHCYL1
Astrocytes,EMX2
Astrocytes,TLCD1
Astrocytes,FAM167A
Astrocytes,TNS3
Astrocytes,NTSR2
Astrocytes,ALDH2
Astrocytes,RGS20
Astrocytes,CRB1
Astrocytes,TIMP3
Astrocytes,SLC18B1
Astrocytes,GJB6
Astrocytes,FGFR3
Astrocytes,SOX9
Astrocytes,CABLES1
Astrocytes,MAOA
Astrocytes,ACOX2
Astrocytes,RANBP3L
Astrocytes,TGFB2
Astrocytes,SOX2
Astrocytes,ADORA2B
Astrocytes,AMOT
Astrocytes,PBXIP1
Astrocytes,MMP28
Astrocytes,TUBB2B
Astrocytes,PLSCR4
Astrocytes,ACAA2
Astrocytes,LRIG1
Astrocytes,GRAMD1C
Astrocytes,SDC4
Astrocytes,FAM107A
Astrocytes,SLC7A10
Astrocytes,SLC25A20
Astrocytes,FGF2
Astrocytes,SMOX
Astrocytes,MYO10
Astrocytes,AQP4
Astrocytes,GPR56
Astrocytes,CGNL1
Astrocytes,ADHFE1
Astrocytes,SNTA1
Astrocytes,TRIL
Astrocytes,SELENBP1
Astrocytes,CHDH
Astrocytes,EFEMP1
Astrocytes,SLC7A11
Astrocytes,GLI3
Astrocytes,LGR4
Astrocytes,MAPKAPK3
Astrocytes,NR2E1
Astrocytes,PTPRZ1
Astrocytes,TTYH1
Astrocytes,ATP1B2
Astrocytes,HSDL2
Astrocytes,TMEM47
Astrocytes,GPR143
Astrocytes,ABCA1
Astrocytes,PAX6
Astrocytes,SLC16A9
Microglia,AIF1
Microglia,TYROBP
Microglia,ALOX5AP
Microglia,APBB1IP
Microglia,C3
Microglia,CD74
Microglia,LAPTM5
Microglia,C1QB
Microglia,CYBB
Microglia,SYK
Microglia,C1QA
Microglia,RGS10
Microglia,ALOX5
Microglia,HLA-DRA
Microglia,LY86
Microglia,SLC2A5
Microglia,CD68
Microglia,FYB
Microglia,TLR7
Microglia,HCLS1
Microglia,LCP1
Microglia,PYCARD
Microglia,CSF1R
Microglia,HAVCR2
Microglia,CX3CR1
Microglia,CD86
Microglia,DOCK8
Microglia,RNASET2
Microglia,IGSF6
Microglia,ADORA3
Microglia,RHBDF2
Microglia,TREM2
Microglia,SLC7A7
Microglia,CYTH4
Microglia,SELPLG
Microglia,ADAP2
Microglia,GPR34
Microglia,LST1
Microglia,HLA-DMB
Microglia,ITGAM
Microglia,ARHGDIB
Microglia,MYO1F
Microglia,HLA-DPA1
Microglia,C1QC
Microglia,ITGB2
Microglia,LGALS9C
Microglia,HLA-DMA
Microglia,CD37
Microglia,CCR1
Microglia,VAMP8
Microglia,OLFML3
Microglia,SUSD3
Microglia,P2RY12
Microglia,RNASE6
Microglia,IL13RA1
Microglia,HPGDS
Microglia,FCGR1A
Microglia,LAT2
Microglia,HLA-DPB1
Microglia,LILRB4
Microglia,PTPRC
Microglia,CD14
Microglia,LAIR1
Microglia,CSF2RA
Microglia,INPP5D
Microglia,CMTM7
Microglia,LPCAT2
Microglia,PTGS1
Microglia,DHRS9
Microglia,RGS18
Microglia,SLCO2B1
Microglia,CD53
Microglia,UCP2
Microglia,RASAL3
Microglia,PARVG
Microglia,ADAM28
Microglia,CASP1
Microglia,P2RY13
Microglia,SLC15A3
Microglia,ST6GAL1
Microglia,ITGAX
Microglia,SIGLEC10
Microglia,NCKAP1L
Microglia,VSIG4
Microglia,SASH3
Microglia,GMFG
Microglia,SIGLEC8
Microglia,AOAH
Microglia,LPAR5
Microglia,HCST
Microglia,SAMSN1
Microglia,CD33
Microglia,TMEM119
Microglia,KCTD12
Microglia,BLNK
Microglia,HMHA1
Microglia,MPEG1
Microglia,FCGR3B
Microglia,PTAFR
