"IlmnID"	"CETS.seqnames"	"CETS.start"	"CETS.end"	"CETS.strand"	"neuron"	"glia"	"region_type"	"symbol"	"CpG_Gene_Region"	"Endothelial_Genes"	"GabaPV_Genes"	"GabaRelnCalb_Genes"	"GabaVIPReln_Genes"	"Microglia_Genes"	"Microglia_activation_Genes"	"Microglia_deactivation_Genes"	"Oligo_Genes"	"OligoPrecursors_Genes"	"Pyramidal_Genes"	"Astrocyte_Genes"
"cg16554020"	"chr19"	12863295	12863295	"+"	0.516788960333584	0.834954293699392	"Promoters"	"BEST2"	"cg16554020_BEST2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg20422511"	"chr11"	73085118	73085118	"+"	0.885271676839417	0.587662772620136	"Up1to5Kb"	"RELT"	"cg20422511_RELT_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg24313303"	"chr1"	27113219	27113219	"+"	0.546388162242011	0.0685465547735957	"Up1to5Kb"	"PIGV"	"cg24313303_PIGV_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg15110463"	"chr1"	27113560	27113560	"+"	0.481341097464238	0.0964968559570503	"Up1to5Kb"	"PIGV"	"cg15110463_PIGV_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg14037036"	"chr1"	27113573	27113573	"+"	0.397239300527819	0.0702116190274134	"Up1to5Kb"	"PIGV"	"cg14037036_PIGV_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg03569412"	"chr19"	1593943	1593943	"-"	0.644746481292414	0.306760813844458	"Up1to5Kb"	"MBD3"	"cg03569412_MBD3_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg21908673"	"chr3"	8540700	8540700	"+"	0.846373617582825	0.30727983759189	"Up1to5Kb"	"LMCD1"	"cg21908673_LMCD1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg15371541"	"chr11"	69590426	69590426	"-"	0.404598824545226	0.139195006625995	"Promoters"	"FGF4"	"cg15371541_FGF4_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg20621635"	"chr11"	69590580	69590580	"-"	0.573444891176815	0.149593901559916	"Promoters"	"FGF4"	"cg20621635_FGF4_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg01795704"	"chr16"	1826775	1826775	"-"	0.531233620919862	0.834126295113886	"Up1to5Kb"	"MRPS34"	"cg01795704_MRPS34_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg02056751"	"chr11"	2320647	2320647	"+"	0.747182110613587	0.391306647939133	"Up1to5Kb"	"TSPAN32"	"cg02056751_TSPAN32_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg09594069"	"chr7"	37956906	37956906	"+"	0.458797295261317	0.0902002661314827	"Up1to5Kb"	"EPDR1"	"cg09594069_EPDR1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg04651042"	"chr7"	37956940	37956940	"+"	0.505935786270717	0.0847046881069776	"Up1to5Kb"	"EPDR1"	"cg04651042_EPDR1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg06161814"	"chr7"	37956963	37956963	"+"	0.720779861383981	0.116969069697236	"Up1to5Kb"	"EPDR1"	"cg06161814_EPDR1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg25689940"	"chr12"	112847715	112847715	"-"	0.521192785427728	0.955199540887442	"Promoters"	"RPL6"	"cg25689940_RPL6_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg07899459"	"chr19"	19755036	19755036	"-"	0.580709042467252	0.905732950285973	"Promoters"	"GMIP"	"cg07899459_GMIP_Promoters"	NA	NA	NA	NA	"Yes"	NA	NA	NA	NA	NA	NA
"cg17798978"	"chr19"	49977247	49977247	"+"	0.439452493354859	0.112572980564039	"Promoters"	"FLT3LG"	"cg17798978_FLT3LG_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"
"cg01667384"	"chr19"	49977266	49977266	"+"	0.450168738319572	0.0657103150190453	"Promoters"	"FLT3LG"	"cg01667384_FLT3LG_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"
"cg12924956"	"chr14"	24600569	24600569	"+"	0.806362224120493	0.545830903112252	"Up1to5Kb"	"PSME1"	"cg12924956_PSME1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg22467534"	"chr17"	73841658	73841658	"-"	0.663757374749616	0.222214249360591	"Up1to5Kb"	"UNC13D"	"cg22467534_UNC13D_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg02947361"	"chr12"	53718057	53718057	"-"	0.740772629414432	0.319385310112749	"Up1to5Kb"	"AAAS"	"cg02947361_AAAS_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg15340178"	"chr10"	102731946	102731946	"+"	0.819386154539647	0.47331372683666	"Promoters"	"SEMA4G"	"cg15340178_SEMA4G_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg26790091"	"chr22"	50702460	50702460	"-"	0.438322689917725	0.790961351607883	"Up1to5Kb"	"MAPK12"	"cg26790091_MAPK12_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg17802464"	"chr22"	30868156	30868156	"-"	0.829260352285082	0.436077732568889	"Up1to5Kb"	"SEC14L3"	"cg17802464_SEC14L3_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg11875119"	"chr22"	31003147	31003147	"+"	0.484762352616485	0.0656099996759531	"Promoters"	"TCN2"	"cg11875119_TCN2_Promoters"	NA	NA	NA	NA	"Yes"	NA	NA	NA	NA	NA	NA
"cg03118854"	"chr22"	44288155	44288155	"-"	0.489023264045486	0.232363892250543	"Promoters"	"PNPLA5"	"cg03118854_PNPLA5_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg16195245"	"chr22"	41637354	41637354	"-"	0.805712783735781	0.247528946905892	"Up1to5Kb"	"CHADL"	"cg16195245_CHADL_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg03474687"	"chr14"	104179160	104179160	"+"	0.78969327546686	0.397689450231271	"Up1to5Kb"	"ZFYVE21"	"cg03474687_ZFYVE21_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg07197059"	"chr14"	23836012	23836012	"-"	0.7567425582106	0.167848168250064	"Up1to5Kb"	"EFS"	"cg07197059_EFS_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg09868035"	"chr20"	62492074	62492074	"+"	0.781727179234571	0.550395632468599	"Up1to5Kb"	"TPD52L2"	"cg09868035_TPD52L2_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg19222525"	"chr20"	62492220	62492220	"+"	0.726682182386145	0.508038191854521	"Up1to5Kb"	"TPD52L2"	"cg19222525_TPD52L2_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg11320144"	"chr20"	1975276	1975276	"-"	0.349412144385126	0.645594182703792	"Up1to5Kb"	"PDYN"	"cg11320144_PDYN_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg24377694"	"chr20"	1975372	1975372	"-"	0.293437849940971	0.79096514340245	"Up1to5Kb"	"PDYN"	"cg24377694_PDYN_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg04730850"	"chr20"	32308480	32308480	"-"	0.379339155866274	0.710481117996298	"Up1to5Kb"	"PXMP4"	"cg04730850_PXMP4_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg07634706"	"chr16"	57438524	57438524	"+"	0.460274688682094	0.904529220727232	"Promoters"	"CCL17"	"cg07634706_CCL17_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg16781880"	"chr16"	58329007	58329007	"-"	0.845876223946295	0.248938226282583	"Promoters"	"PRSS54"	"cg16781880_PRSS54_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg08199013"	"chr16"	330010	330010	"+"	0.612222329812311	0.808647803209419	"Up1to5Kb"	"PDIA2"	"cg08199013_PDIA2_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg08328483"	"chr16"	31119196	31119196	"+"	0.224983933374374	0.619027247254213	"Promoters"	"BCKDK"	"cg08328483_BCKDK_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg18388559"	"chr15"	41186038	41186038	"+"	0.635829909272433	0.411062409242807	"Promoters"	"VPS18"	"cg18388559_VPS18_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg21184172"	"chr8"	97657282	97657282	"+"	0.512701008187603	0.238113764680009	"Promoters"	"CPQ"	"cg21184172_CPQ_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg04986675"	"chr8"	97657294	97657294	"+"	0.609966988684351	0.321065893739979	"Promoters"	"CPQ"	"cg04986675_CPQ_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg24733637"	"chr19"	19050451	19050451	"-"	0.71080577384157	0.368816743877004	"Up1to5Kb"	"HOMER3"	"cg24733637_HOMER3_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg11376215"	"chr19"	45829628	45829628	"-"	0.356269067704075	0.0983832727191317	"Up1to5Kb"	"CKM"	"cg11376215_CKM_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg19529363"	"chr19"	4229509	4229509	"+"	0.505456397049247	0.189801122634381	"Promoters"	"EBI3"	"cg19529363_EBI3_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg20410381"	"chr19"	41860082	41860082	"-"	0.349764489787997	0.0880459729469327	"Promoters"	"TGFB1"	"cg20410381_TGFB1_Promoters"	NA	NA	NA	NA	"Yes"	NA	NA	NA	NA	NA	NA
"cg10710412"	"chr19"	51876030	51876030	"-"	0.826487676921892	0.414590859352332	"Up1to5Kb"	"NKG7"	"cg10710412_NKG7_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg21494776"	"chr19"	10397780	10397780	"+"	0.506913497030677	0.216492472722984	"Up1to5Kb"	"ICAM5"	"cg21494776_ICAM5_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg14016200"	"chr19"	10399157	10399157	"+"	0.473659259150493	0.188806825867316	"Up1to5Kb"	"ICAM5"	"cg14016200_ICAM5_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg08393170"	"chr19"	42894542	42894542	"-"	0.426001496878109	0.169859659416453	"Up1to5Kb"	"CNFN"	"cg08393170_CNFN_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg04857672"	"chr19"	11495077	11495077	"-"	0.739993474765709	0.187953014190213	"Up1to5Kb"	"EPOR"	"cg04857672_EPOR_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg23222039"	"chr19"	17982708	17982708	"+"	0.465815816192001	0.131959908553812	"Promoters"	"SLC5A5"	"cg23222039_SLC5A5_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg02674588"	"chr19"	17982716	17982716	"+"	0.353165854233015	0.103067960399532	"Promoters"	"SLC5A5"	"cg02674588_SLC5A5_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg01655355"	"chr19"	17982748	17982748	"+"	0.386886534449773	0.0623855387235384	"Promoters"	"SLC5A5"	"cg01655355_SLC5A5_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg11621808"	"chr7"	20369301	20369301	"+"	0.444417648449585	0.0978626763045743	"Up1to5Kb"	"ITGB8"	"cg11621808_ITGB8_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA
"cg06927337"	"chr7"	2557028	2557028	"+"	0.441823690201541	0.821583464651596	"Up1to5Kb"	"LFNG"	"cg06927337_LFNG_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"
"cg05829046"	"chr7"	2557446	2557446	"+"	0.524153881606251	0.87710627730681	"Up1to5Kb"	"LFNG"	"cg05829046_LFNG_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"
"cg22902289"	"chr7"	2557466	2557466	"+"	0.430410878403808	0.812704161847356	"Up1to5Kb"	"LFNG"	"cg22902289_LFNG_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"
"cg26122963"	"chr7"	100198944	100198944	"+"	0.816239625789946	0.556734320708431	"Up1to5Kb"	"PCOLCE"	"cg26122963_PCOLCE_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg08309135"	"chr7"	127984393	127984393	"-"	0.441968473407021	0.903999032803168	"Promoters"	"RBM28"	"cg08309135_RBM28_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg24539923"	"chr7"	100769903	100769903	"+"	0.53931707346459	0.116200543972596	"Promoters"	"SERPINE1"	"cg24539923_SERPINE1_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg19722814"	"chr7"	100769933	100769933	"+"	0.674083697829785	0.0884740653870501	"Promoters"	"SERPINE1"	"cg19722814_SERPINE1_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg13932029"	"chr9"	23824172	23824172	"-"	0.135412491691528	0.52546948182765	"Up1to5Kb"	"ELAVL2"	"cg13932029_ELAVL2_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg19692584"	"chr10"	96161889	96161889	"+"	0.254583730592366	0.755154041106693	"Promoters"	"TBC1D12"	"cg19692584_TBC1D12_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg03771939"	"chr10"	96161916	96161916	"+"	0.175034174189739	0.697850809067636	"Promoters"	"TBC1D12"	"cg03771939_TBC1D12_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg03317245"	"chr17"	3600514	3600514	"-"	0.175583446310533	0.647411888954311	"Up1to5Kb"	"P2RX5"	"cg03317245_P2RX5_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg05379350"	"chr17"	27917157	27917157	"-"	0.320964224215488	0.642055819257173	"Promoters"	"GIT1"	"cg05379350_GIT1_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg22437987"	"chr17"	3820910	3820910	"-"	0.423965616583079	0.123590237283101	"Up1to5Kb"	"P2RX1"	"cg22437987_P2RX1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg22854223"	"chr11"	44586505	44586505	"+"	0.35552926806976	0.0875771418821679	"Promoters"	"CD82"	"cg22854223_CD82_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg06008062"	"chr11"	73358518	73358518	"+"	0.612958103769108	0.200276617032633	"Promoters"	"PLEKHB1"	"cg06008062_PLEKHB1_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg03481039"	"chr11"	116662012	116662012	"-"	0.619119468136286	0.280975608006086	"Up1to5Kb"	"ZPR1"	"cg03481039_ZPR1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg13956924"	"chr11"	126222227	126222227	"+"	0.334647492546187	0.790944771755819	"Up1to5Kb"	"ST3GAL4"	"cg13956924_ST3GAL4_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"
"cg11826475"	"chr12"	120704006	120704006	"-"	0.736526774039136	0.327281030770597	"Up1to5Kb"	"PXN"	"cg11826475_PXN_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA
"cg26911787"	"chr12"	96587734	96587734	"+"	0.607225912062839	0.184723987626605	"Promoters"	"ELK3"	"cg26911787_ELK3_Promoters"	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA	NA
"cg09490277"	"chr6"	35419591	35419591	"+"	0.800022478820894	0.382109996480679	"Promoters"	"FANCE"	"cg09490277_FANCE_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg04305062"	"chr6"	39399200	39399200	"-"	0.782582555074636	0.249213296751377	"Up1to5Kb"	"KIF6"	"cg04305062_KIF6_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"cg07539583"	"chr6"	27215397	27215397	"+"	0.792750770534238	0.478148959396908	"Promoters"	"PRSS16"	"cg07539583_PRSS16_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg20442289"	"chr5"	133305704	133305704	"-"	0.736527601023745	0.193574351157967	"Up1to5Kb"	"C5orf15"	"cg20442289_C5orf15_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg14345676"	"chr5"	175109098	175109098	"+"	0.173493175491347	0.920860203556137	"Up1to5Kb"	"HRH2"	"cg14345676_HRH2_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg01022780"	"chr3"	48598236	48598236	"-"	0.706065877308479	0.317550698457043	"Up1to5Kb"	"PFKFB4"	"cg01022780_PFKFB4_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg10960375"	"chr3"	42694144	42694144	"+"	0.600294205787813	0.129097085047047	"Up1to5Kb"	"ZBTB47"	"cg10960375_ZBTB47_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg04685645"	"chr19"	1404499	1404499	"+"	0.316743601147767	0.706229347378559	"Up1to5Kb"	"DAZAP1"	"cg04685645_DAZAP1_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg17265419"	"chr2"	182321489	182321489	"+"	0.705670273750822	0.229615474156708	"Promoters"	"ITGA4"	"cg17265419_ITGA4_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg10965575"	"chr2"	182321496	182321496	"+"	0.574531694911415	0.127439001658538	"Promoters"	"ITGA4"	"cg10965575_ITGA4_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg21534578"	"chr1"	197745159	197745159	"-"	0.473978899396539	0.826109496675923	"Promoters"	"DENND1B"	"cg21534578_DENND1B_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg17611742"	"chr1"	197745238	197745238	"-"	0.440028885872902	0.862291238318628	"Promoters"	"DENND1B"	"cg17611742_DENND1B_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg03763518"	"chr1"	150245044	150245044	"-"	0.66610882647716	0.216176271558448	"Up1to5Kb"	"APH1A"	"cg03763518_APH1A_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg23219570"	"chr12"	4488893	4488893	"-"	0.829060504775497	0.507049900216389	"Promoters"	"FGF23"	"cg23219570_FGF23_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg23074992"	"chr14"	95237386	95237386	"-"	0.160594058866863	0.633934896721603	"Promoters"	"GSC"	"cg23074992_GSC_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg01553004"	"chr14"	77495672	77495672	"-"	0.217707933665981	0.534421889256288	"Promoters"	"IRF2BPL"	"cg01553004_IRF2BPL_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg19275978"	"chr2"	60983087	60983087	"+"	0.126043849453041	0.422209446637729	"Promoters"	"PAPOLG"	"cg19275978_PAPOLG_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg25518712"	"chr19"	58612400	58612400	"-"	0.424176451394689	0.939030138005062	"Up1to5Kb"	"ZSCAN18"	"cg25518712_ZSCAN18_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg19928195"	"chr3"	123813191	123813191	"+"	0.590145135935736	0.861119743403826	"Promoters"	"KALRN"	"cg19928195_KALRN_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg08144586"	"chr3"	172241384	172241384	"-"	0.809635331457969	0.131764109452665	"Up1to5Kb"	"TNFSF10"	"cg08144586_TNFSF10_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg13702196"	"chr10"	125651588	125651588	"-"	0.672668307601704	0.290595641968693	"Promoters"	"CPXM2"	"cg13702196_CPXM2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg06964608"	"chr1"	34633066	34633066	"-"	0.724463031107572	0.22284684650662	"Up1to5Kb"	"CSMD2"	"cg06964608_CSMD2_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg06043042"	"chr10"	71333202	71333202	"-"	0.260514197813302	0.102899352022924	"Promoters"	"NEUROG3"	"cg06043042_NEUROG3_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg21721566"	"chr12"	121163144	121163144	"+"	0.647049595357327	0.212300691977966	"Promoters"	"ACADS"	"cg21721566_ACADS_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg00519069"	"chr19"	14491737	14491737	"+"	0.634784753102717	0.210984342903666	"Promoters"	"ADGRE5"	"cg00519069_ADGRE5_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg05010623"	"chr2"	158485762	158485762	"-"	0.32342104711445	0.0885524572658365	"Promoters"	"ACVR1C"	"cg05010623_ACVR1C_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg19612309"	"chr19"	41112379	41112379	"+"	0.646351730371934	0.0958121308410973	"Up1to5Kb"	"LTBP4"	"cg19612309_LTBP4_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg00027674"	"chr11"	87908897	87908897	"-"	0.74109727076995	0.136736043459216	"Promoters"	"RAB38"	"cg00027674_RAB38_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg04421271"	"chr11"	87908938	87908938	"-"	0.806317390985965	0.210933210728254	"Promoters"	"RAB38"	"cg04421271_RAB38_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg01833675"	"chr2"	225266876	225266876	"-"	0.83245069625724	0.253743970881654	"Promoters"	"FAM124B"	"cg01833675_FAM124B_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg01661001"	"chr20"	44439932	44439932	"+"	0.53345968367731	0.93081501576671	"Up1to5Kb"	"UBE2C"	"cg01661001_UBE2C_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg03782043"	"chr6"	30044206	30044206	"-"	0.75492661577802	0.407001361581121	"Promoters"	"RNF39"	"cg03782043_RNF39_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg18889437"	"chr6"	42947671	42947671	"-"	0.803683713856369	0.332813021140943	"Up1to5Kb"	"PEX6"	"cg18889437_PEX6_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg14267151"	"chr6"	8066098	8066098	"-"	0.5075116113549	0.901339347080737	"Up1to5Kb"	"BLOC1S5"	"cg14267151_BLOC1S5_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg22807402"	"chr17"	73269154	73269154	"-"	0.531261430525738	0.871330313046669	"Up1to5Kb"	"MIF4GD"	"cg22807402_MIF4GD_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
